history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
error16,learned_order_extension,2024,47,0.7021276595744681,0.2978723404255319,33,0.6954545454545455,0.3829787234042553,0.46808510638297873,13,20,5,9,0.7,0.23149579641952137,0.6560508237945634,0.47820776227854894,0.07386156186589365,0.01012265589557021,0.0
error16,learned_order_extension,2025,48,0.4791666666666667,0.5208333333333334,23,0.5055555555555555,0.3958333333333333,0.625,12,11,7,18,0.5388888888888889,0.258864402302585,0.7120519166820286,0.47773112165937226,0.0910914005040841,-0.14726887834062774,0.0
error16,learned_order_extension,2026,30,0.5333333333333333,0.4666666666666667,16,0.5178571428571428,0.26666666666666666,0.4666666666666667,4,12,4,10,0.41517857142857145,0.25714039845819736,0.7077846259079127,0.4734624706467733,0.04090066116289066,0.006795803980106652,0.0
error16,learned_order_offset,2021,50,0.58,0.42,29,0.5982286634460547,0.72,0.46,19,10,17,4,0.5555555555555556,0.264724145089318,0.729071090173193,0.565454076244052,0.1343560402714924,0.10545407624405195,0.0
error16,learned_order_offset,2022,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.39827586206896554,0.2883001966045502,0.7718108553954959,0.5651838534939335,0.0927350930951447,0.15702058818781106,0.0
error16,learned_order_offset,2023,48,0.3958333333333333,0.6041666666666666,19,0.40925589836660614,0.5833333333333334,0.3958333333333333,9,10,19,10,0.40653357531760437,0.26980667455541435,0.7336490229056819,0.5062984450912148,0.07968739306608943,0.11046511175788148,0.0
error16,learned_order_offset,2024,47,0.6808510638297872,0.3191489361702128,32,0.6727272727272727,0.3617021276595745,0.46808510638297873,12,20,5,10,0.6963636363636364,0.23175374278726688,0.6565820094995436,0.4782096605346944,0.07333365743639939,0.010124554151715648,0.0
error16,learned_order_offset,2025,48,0.4791666666666667,0.5208333333333334,23,0.5055555555555555,0.3958333333333333,0.625,12,11,7,18,0.5407407407407407,0.25869548841129325,0.7116699349257499,0.477670002047944,0.09041272280757795,-0.14732999795205598,0.0
error16,learned_order_offset,2026,30,0.5333333333333333,0.4666666666666667,16,0.5178571428571428,0.26666666666666666,0.4666666666666667,4,12,4,10,0.41517857142857145,0.2570979602122138,0.7076969781186662,0.4733246065407771,0.04074189091604436,0.006657939874110452,0.0
error16,learned_vol_interaction,2021,50,0.58,0.42,29,0.5982286634460547,0.72,0.46,19,10,17,4,0.5410628019323671,0.2626379063442903,0.7229636004314257,0.5629322457088187,0.12170940439035155,0.1029322457088187,0.0
error16,learned_vol_interaction,2022,49,0.3673469387755102,0.6326530612244898,18,0.4189655172413793,0.7959183673469388,0.40816326530612246,14,4,25,6,0.3913793103448276,0.2900329131594428,0.7757892415806719,0.5664336188301652,0.08478481920075416,0.15827035352404273,0.0
error16,learned_vol_interaction,2023,48,0.3958333333333333,0.6041666666666666,19,0.40925589836660614,0.5833333333333334,0.3958333333333333,9,10,19,10,0.42286751361161523,0.2715212936153937,0.7375603091338124,0.5020945026412044,0.09025893231171678,0.10626116930787105,0.0
error16,learned_vol_interaction,2024,47,0.723404255319149,0.2765957446808511,34,0.7209090909090909,0.44680851063829785,0.46808510638297873,15,19,6,7,0.7381818181818182,0.22280804607377586,0.6377677326761343,0.4804739279000666,0.08962285654638014,0.012388821517087867,0.0
error16,learned_vol_interaction,2025,48,0.4375,0.5625,21,0.4722222222222222,0.3541666666666667,0.625,10,11,7,20,0.5370370370370371,0.26056398280227105,0.7157601571679632,0.4716467884432987,0.08666903962198001,-0.15335321155670129,0.0
error16,learned_vol_interaction,2026,30,0.4,0.6,12,0.39285714285714285,0.4,0.4666666666666667,4,8,8,10,0.39285714285714285,0.25750094645034777,0.7082703597820365,0.48294627784032795,0.04333777461702088,0.01627961117366128,0.0
error16,native_mse,2021,50,0.58,0.42,29,0.5917874396135265,0.64,0.46,17,12,15,6,0.6022544283413849,,,,,,
error16,native_mse,2022,49,0.3469387755102041,0.6530612244897959,17,0.38620689655172413,0.7346938775510204,0.40816326530612246,12,5,24,8,0.3913793103448276,,,,,,
error16,native_mse,2023,48,0.5,0.5,24,0.49546279491833034,0.4791666666666667,0.3958333333333333,9,15,14,10,0.4591651542649728,,,,,,
error16,native_mse,2024,47,0.5106382978723404,0.48936170212765956,24,0.5263636363636364,0.7446808510638298,0.46808510638297873,17,7,18,5,0.6418181818181818,,,,,,
error16,native_mse,2025,48,0.4375,0.5625,21,0.5055555555555555,0.22916666666666666,0.625,7,14,4,23,0.4740740740740741,,,,,,
